person_id,arrest_id_x,charge_degree,offense_category,arrest_date_event,arrest_id_y,age_at_arrest,sex,race,arrest_date_univ,y,current_charge_felony,num_fel_arrests_last_year
22194,160365,misdemeanor,drug,2020-02-29,4884956,37.95616438356164,F,White,2017-11-02,0,0,0
349867,9186427,misdemeanor,property,2014-08-05,6357251,23.82191780821918,F,White,2016-12-09,0,0,0
27382,7381538,misdemeanor,property,2016-03-07,7381538,26.564383561643837,M,Black,2016-03-07,1,0,0
1306011,6376331,felony,property,2016-11-29,7193530,59.12054794520548,M,White,2016-04-26,1,1,0
76733,3301783,misdemeanor,drug,2020-06-19,4573842,27.47945205479452,F,White,2017-12-30,0,0,1
259056,1327786,felony,property,2019-07-09,4219078,40.772602739726025,M,Black,2018-03-08,0,1,0
522552,5789022,felony,other,2017-05-10,6457126,32.62191780821918,F,White,2016-11-08,1,1,1
2746168,6277542,misdemeanor,violent,2017-01-04,6277542,22.898630136986306,M,Black,2017-01-04,0,0,0
1788,10945223,felony,violent,2012-12-14,5879415,46.961643835616435,M,,2017-04-17,0,1,0
1050738,1711376,misdemeanor,violent,2020-05-17,3479577,22.24931506849315,M,Black,2018-07-06,0,0,0
3484,2494778,misdemeanor,violent,2018-12-24,7383051,38.0,M,Black,2016-03-06,0,0,0
1137620,2633968,felony,property,2018-11-27,3130830,33.10958904109589,M,Black,2018-08-24,1,1,0
910635,9689389,misdemeanor,other,2014-02-24,4973877,61.016438356164386,M,Black,2017-10-22,0,0,0
2326,9487518,misdemeanor,property,2014-05-04,7591648,31.378082191780823,M,Black,2016-01-06,1,0,1
3216126,6434318,misdemeanor,violent,2016-11-15,5728325,46.04109589041096,M,White,2017-05-26,0,0,0
1039827,2165338,misdemeanor,other,2019-02-26,3839724,22.438356164383563,M,Black,2018-05-01,0,0,0
940651,10771411,misdemeanor,other,2013-02-20,3015248,40.293150684931504,F,mixed,2018-09-15,0,0,0
67140,1173769,felony,drug,2019-08-07,5670555,29.33150684931507,M,Black,2017-06-07,1,1,0
8089,10173879,misdemeanor,other,2013-09-14,4652942,22.35890410958904,M,Black,2017-12-12,0,0,2
40226,2674085,misdemeanor,property,2018-11-19,3212729,31.235616438356164,M,Black,2018-08-07,0,0,0
10237,7580483,misdemeanor,drug,2016-01-10,3013712,26.4986301369863,M,Black,2018-09-16,0,0,0
512354,7388658,felony,property,2016-03-03,7388658,55.52328767123288,F,White,2016-03-03,0,1,0
5400,10389988,felony,violent,2020-12-22,4292218,27.21917808219178,M,Black,2018-02-22,1,1,0
1130673,7005244,misdemeanor,other,2016-05-28,7005244,25.65205479452055,M,Black,2016-05-28,1,0,1
336042,9390133,misdemeanor,other,2014-05-29,5170311,55.30684931506849,M,White,2017-09-15,1,0,0
909386,7959983,misdemeanor,violent,2015-09-13,6072822,25.61917808219178,M,Black,2017-02-25,0,0,0
1301492,4810567,felony,violent,2017-11-16,4810567,26.764383561643836,M,Black,2017-11-16,0,1,0
2143682,4437585,misdemeanor,property,2018-01-26,5014497,54.484931506849314,M,White,2017-10-14,0,0,0
1307676,8761513,misdemeanor,drug,2015-01-01,6704112,35.09315068493151,M,White,2016-08-26,1,0,0
474178,8662565,misdemeanor,drug,2015-01-31,5597498,28.304109589041097,M,White,2017-06-23,0,0,0
46101,8775437,misdemeanor,violent,2014-12-25,2788963,46.00547945205479,M,White,2018-10-29,0,0,0
1012225,4606076,misdemeanor,property,2017-12-22,6096461,50.657534246575345,M,White,2017-02-19,0,0,0
10237,6410676,misdemeanor,drug,2016-11-17,3013712,26.4986301369863,M,Black,2018-09-16,0,0,0
2792559,5488284,misdemeanor,other,2017-07-18,6313370,50.71780821917808,M,White,2016-12-21,0,0,0
74595,1846584,misdemeanor,drug,2019-04-22,2568623,38.24109589041096,M,Black,2018-12-10,0,0,0
442499,5053285,felony,property,2017-10-06,5053285,29.23835616438356,M,White,2017-10-06,0,1,0
